Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
"Adelaide,King,Richmond",43.65040969848633,-79.38288116455078,The Keg Steakhouse & Bar,43.649937252985254,-79.38419604942506,Steakhouse
"Adelaide,King,Richmond",43.65040969848633,-79.38288116455078,Nathan Phillips Square,43.65227047322295,-79.38351631164551,Plaza
"Adelaide,King,Richmond",43.65040969848633,-79.38288116455078,Rosalinda,43.650252483069295,-79.38515575620075,Vegetarian / Vegan Restaurant
"Adelaide,King,Richmond",43.65040969848633,-79.38288116455078,Adelaide Club Toronto,43.64927944291712,-79.38192123284551,Gym / Fitness Center
"Adelaide,King,Richmond",43.65040969848633,-79.38288116455078,Cactus Club Cafe,43.6495520142626,-79.38167072512041,American Restaurant
"Adelaide,King,Richmond",43.65040969848633,-79.38288116455078,Four Seasons Centre for the Performing Arts,43.650592,-79.385806,Concert Hall
"Adelaide,King,Richmond",43.65040969848633,-79.38288116455078,Estiatorio Volos,43.65032912559998,-79.38453301297716,Greek Restaurant
"Adelaide,King,Richmond",43.65040969848633,-79.38288116455078,Hy's Steakhouse,43.649504756476944,-79.38291850488223,Steakhouse
"Adelaide,King,Richmond",43.65040969848633,-79.38288116455078,Old City Hall,43.652008800876125,-79.3817442232328,Monument / Landmark
"Adelaide,King,Richmond",43.65040969848633,-79.38288116455078,M Square Coffee Co,43.65121797253777,-79.38355459932247,Coffee Shop
"Adelaide,King,Richmond",43.65040969848633,-79.38288116455078,Pilot Coffee Roasters,43.648835391245896,-79.3809358125033,Coffee Shop
"Adelaide,King,Richmond",43.65040969848633,-79.38288116455078,John & Sons Oyster House,43.65065642537144,-79.38161285228475,Seafood Restaurant
"Adelaide,King,Richmond",43.65040969848633,-79.38288116455078,Bulldog On The Block,43.65065218852629,-79.38414092873634,Coffee Shop
"Adelaide,King,Richmond",43.65040969848633,-79.38288116455078,King Taps,43.648475974183,-79.38205778358744,Gastropub
"Adelaide,King,Richmond",43.65040969848633,-79.38288116455078,Noodle King,43.65170632794881,-79.38304628912547,Asian Restaurant
"Adelaide,King,Richmond",43.65040969848633,-79.38288116455078,Assembly Chef's Hall,43.650578865093934,-79.3834119303614,Food Court
"Adelaide,King,Richmond",43.65040969848633,-79.38288116455078,Maman,43.64830873804684,-79.38225333898805,Café
"Adelaide,King,Richmond",43.65040969848633,-79.38288116455078,Richmond Station,43.65156872562108,-79.37926594000328,American Restaurant
"Adelaide,King,Richmond",43.65040969848633,-79.38288116455078,Boxcar Social Temperance,43.65055725249405,-79.38195634640063,Bar
"Adelaide,King,Richmond",43.65040969848633,-79.38288116455078,deKEFIR,43.65043319523819,-79.37939324949957,Ice Cream Shop
"Adelaide,King,Richmond",43.65040969848633,-79.38288116455078,Pizzeria Libretto,43.64833354686235,-79.38511050184168,Pizza Place
"Adelaide,King,Richmond",43.65040969848633,-79.38288116455078,Brick Street Bakery,43.6488151631615,-79.38060468610949,Bakery
"Adelaide,King,Richmond",43.65040969848633,-79.38288116455078,iQ Food Co. (First Canadian Place),43.64835708519922,-79.38219241858727,Salad Place
"Adelaide,King,Richmond",43.65040969848633,-79.38288116455078,The Chase,43.650951982093595,-79.37942201983014,New American Restaurant
"Adelaide,King,Richmond",43.65040969848633,-79.38288116455078,Cafe Landwer,43.64875349932059,-79.3853673607289,Café
"Adelaide,King,Richmond",43.65040969848633,-79.38288116455078,Shangri-La Toronto,43.64912919417502,-79.3865566853963,Hotel
"Adelaide,King,Richmond",43.65040969848633,-79.38288116455078,Pumpernickel's Deli,43.64883150054619,-79.38197006345457,Deli / Bodega
"Adelaide,King,Richmond",43.65040969848633,-79.38288116455078,Kupfert & Kim (First Canadian Place),43.64854659465186,-79.38162406470161,Gluten-free Restaurant
"Adelaide,King,Richmond",43.65040969848633,-79.38288116455078,Bosk at Shangri-La,43.649022736761516,-79.38582635521233,Asian Restaurant
"Adelaide,King,Richmond",43.65040969848633,-79.38288116455078,Hilton Toronto,43.6499459,-79.385479,Hotel
"Adelaide,King,Richmond",43.65040969848633,-79.38288116455078,Dineen Coffee,43.650497,-79.378765,Café
"Adelaide,King,Richmond",43.65040969848633,-79.38288116455078,Canadian Opera Company,43.6506601893789,-79.38624169559013,Opera House
"Adelaide,King,Richmond",43.65040969848633,-79.38288116455078,Hudson's Bay,43.652039815876805,-79.38039146122816,Department Store
"Adelaide,King,Richmond",43.65040969848633,-79.38288116455078,Toronto PATH System,43.64990340698978,-79.3830527039004,General Travel
"Adelaide,King,Richmond",43.65040969848633,-79.38288116455078,Equinox Bay Street,43.64809974034856,-79.37998869411526,Gym
"Adelaide,King,Richmond",43.65040969848633,-79.38288116455078,Canoe,43.647452066183476,-79.38132001815676,Restaurant
"Adelaide,King,Richmond",43.65040969848633,-79.38288116455078,Downtown Toronto,43.65323167517444,-79.38529600606677,Neighborhood
"Adelaide,King,Richmond",43.65040969848633,-79.38288116455078,Soho House Toronto,43.64873430659662,-79.38654117564838,Speakeasy
"Adelaide,King,Richmond",43.65040969848633,-79.38288116455078,Tachi,43.65059603893127,-79.38339613055128,Sushi Restaurant
"Adelaide,King,Richmond",43.65040969848633,-79.38288116455078,Sam James Coffee Bar (SJCB),43.64788137014028,-79.38433152836829,Café
"Adelaide,King,Richmond",43.65040969848633,-79.38288116455078,Bannock,43.652101173138405,-79.38117828399939,Restaurant
"Adelaide,King,Richmond",43.65040969848633,-79.38288116455078,Eggspectation Bell Trinity Square,43.65314383888587,-79.38198016678167,Breakfast Spot
"Adelaide,King,Richmond",43.65040969848633,-79.38288116455078,Sweet Lulu,43.65055650489936,-79.38117543224395,Asian Restaurant
"Adelaide,King,Richmond",43.65040969848633,-79.38288116455078,Reds Wine Tavern,43.64957038171473,-79.38212873483711,Gastropub
"Adelaide,King,Richmond",43.65040969848633,-79.38288116455078,Ruth's Chris Steak House,43.6499174,-79.3857238,Steakhouse
"Adelaide,King,Richmond",43.65040969848633,-79.38288116455078,Topshop,43.65225092432807,-79.3802210071282,Women's Store
"Adelaide,King,Richmond",43.65040969848633,-79.38288116455078,Starbucks,43.64902831957521,-79.38159290007317,Coffee Shop
"Adelaide,King,Richmond",43.65040969848633,-79.38288116455078,Indigo,43.65351471121164,-79.38069591056922,Bookstore
"Adelaide,King,Richmond",43.65040969848633,-79.38288116455078,Lobby Lounge at the Shangri-La Toronto,43.64915499986854,-79.38654574367817,Lounge
"Adelaide,King,Richmond",43.65040969848633,-79.38288116455078,The National Club,43.64934259283233,-79.3805735731846,Wine Bar
"Adelaide,King,Richmond",43.65040969848633,-79.38288116455078,GoodLife Fitness Toronto 137 Yonge Street,43.651242,-79.378068,Gym
"Adelaide,King,Richmond",43.65040969848633,-79.38288116455078,Dineen @CommerceCourt,43.648250543365556,-79.38012728220869,Coffee Shop
"Adelaide,King,Richmond",43.65040969848633,-79.38288116455078,Sud Forno,43.65093965733832,-79.37904545824371,Bakery
"Adelaide,King,Richmond",43.65040969848633,-79.38288116455078,Drake One Fifty,43.64973478218314,-79.38416200344601,Bar
"Adelaide,King,Richmond",43.65040969848633,-79.38288116455078,Mercatto,43.6502431921682,-79.38081989149896,Italian Restaurant
"Adelaide,King,Richmond",43.65040969848633,-79.38288116455078,Apple Eaton Centre,43.652823,-79.380615,Electronics Store
"Adelaide,King,Richmond",43.65040969848633,-79.38288116455078,South Street Burger,43.65061154617051,-79.38109473310139,Burger Joint
"Adelaide,King,Richmond",43.65040969848633,-79.38288116455078,CF Toronto Eaton Centre,43.65359376340117,-79.38061140153864,Shopping Mall
"Adelaide,King,Richmond",43.65040969848633,-79.38288116455078,Craft Beer Market,43.6498722789121,-79.37839828995996,Beer Bar
"Adelaide,King,Richmond",43.65040969848633,-79.38288116455078,JaBistro,43.64968685893743,-79.38809001547467,Sushi Restaurant
"Adelaide,King,Richmond",43.65040969848633,-79.38288116455078,Momofuku Noodle Bar,43.6493658716176,-79.38621652451032,Noodle House
"Adelaide,King,Richmond",43.65040969848633,-79.38288116455078,Mos Mos Coffee,43.64815919753501,-79.37874450467258,Café
"Adelaide,King,Richmond",43.65040969848633,-79.38288116455078,Hilton Toronto Executive Lounge,43.650363125865155,-79.38580184119992,Breakfast Spot
"Adelaide,King,Richmond",43.65040969848633,-79.38288116455078,Leña,43.651722,-79.379205,Latin American Restaurant
"Adelaide,King,Richmond",43.65040969848633,-79.38288116455078,Five Guys,43.648952917114954,-79.38148110862167,Burger Joint
"Adelaide,King,Richmond",43.65040969848633,-79.38288116455078,Design Exchange,43.64797219581623,-79.38010382588462,Art Gallery
"Adelaide,King,Richmond",43.65040969848633,-79.38288116455078,Walrus Pub & Beer Hall,43.64737470920577,-79.37951515363918,Pub
"Adelaide,King,Richmond",43.65040969848633,-79.38288116455078,The Adelaide Hotel Toronto,43.6498312,-79.3801639,Hotel
"Adelaide,King,Richmond",43.65040969848633,-79.38288116455078,Pi Co.,43.648651,-79.385874,Pizza Place
"Adelaide,King,Richmond",43.65040969848633,-79.38288116455078,Friendly Stranger - Cannabis Culture Shop,43.650386666114635,-79.38852348995324,Smoke Shop
"Adelaide,King,Richmond",43.65040969848633,-79.38288116455078,Café Plenty,43.6491179354577,-79.37831288380438,Café
"Adelaide,King,Richmond",43.65040969848633,-79.38288116455078,LUSH,43.653557,-79.3804,Cosmetics Shop
"Adelaide,King,Richmond",43.65040969848633,-79.38288116455078,Starbucks,43.646731,-79.383951,Coffee Shop
"Adelaide,King,Richmond",43.65040969848633,-79.38288116455078,Beerbistro,43.64941904378835,-79.37723726034164,Gastropub
"Adelaide,King,Richmond",43.65040969848633,-79.38288116455078,The Burger's Priest,43.648476440165176,-79.38737257506915,Burger Joint
"Adelaide,King,Richmond",43.65040969848633,-79.38288116455078,Ruby Thai (First Canadian Place),43.64909140219368,-79.38159990145141,Thai Restaurant
"Adelaide,King,Richmond",43.65040969848633,-79.38288116455078,Elgin And Winter Garden Theatres,43.653393796019586,-79.3785073962175,Theater
"Adelaide,King,Richmond",43.65040969848633,-79.38288116455078,SEPHORA,43.653688,-79.38012,Cosmetics Shop
"Adelaide,King,Richmond",43.65040969848633,-79.38288116455078,Bell Trinity Square,43.65347479872822,-79.38246987630343,Office
